building,school,building_condition,learning_environment,capacity,enrollment,wss_office_staff,wss_non-teaching,mitigation_funding,custodial,average_nutrition,utilities,transportation,grounds,maintenance,total_budget,middle_school_attendance_area,option_school,highly_capable_site,region,k_8,preschool,longitude,latitude,zip_code,regular_program,bilingual_served,special_ed._served,male,female,non-binary,total_student_count,p223_k5_count,p223_k5_fte,p223_k8_count,pk8_count,percent_utilization,normalized_building_condition,building_condition_rank,normalized_capacity,capacity_rank,normalized_learning_environment,learning_environment_rank,learning_environment_rev,normalized_total_budget,budget_per_k5_student,budget_per_k8_student,budget_per_pk8_student,nearest_school,distance_to_nearest_school
Sacajawea,Sacajawea,51.07,4.42,184,210,396751,210704,,377490,62985,78646,497142,25732,49485,1698936,Jane Addams,Neighborhood,Standard,Northeast,K-5,Yes,-122.308,47.698,98115,123,26,58,103,99,1,203,203,203.0,203,245,114.13043478260869,-1.4584484525379122,67,-2.1822375555501154,70,1.9546410144225648,73,0.5800000000000001,-0.1818434164619352,8369.142857142857,8369.142857142857,6934.432653061224,Olympic View,0.6045692028319086
Sand Point,Sand Point,67.17,3.77,132,194,396751,210704,,352851,62985,81308,248571,25732,59317,1438219,Eckstein,Neighborhood,Standard,Northeast,K-5,Yes,-122.263,47.674,98115,105,35,32,81,85,1,167,167,167.0,167,205,146.96969696969697,-0.5074464905933098,48,-2.5598024489351765,73,1.2900210492892743,69,1.23,-0.777817975131477,8612.08982035928,8612.08982035928,7015.7024390243905,View Ridge,0.7744292634895662
Sanislo,Sanislo,50.32,3.27,236,173,396751,170370,,335261,62985,93225,165714,24303,26076,1274685,Denny,Neighborhood,Standard,Southwest,K-5,No,-122.359,47.54,98106,90,60,27,83,80,3,166,166,166.0,166,166,73.30508474576271,-1.5027497861688721,68,-1.8046726621650544,67,0.778774922263666,54,1.73,-1.151641329486831,7678.825301204819,7678.825301204819,7678.825301204819,Louisa Boren,0.6374260132057612
Seward (TOPS),TOPS,58.86,2.92,532,297,672371,256382,30134,255384,62985,121272,1077142,25668,54805,2556143,Meany,Option,Standard,Central,K-8,No,-122.324,47.642,98102,225,44,51,155,146,3,304,304,304.0,480,480,55.82706766917293,-0.9983052672243439,61,0.3445428847960621,23,0.42090263334574013,42,2.08,1.7776512214536666,8408.365131578947,5325.297916666666,5325.297916666666,Montlake,0.9336742497017969
South Shore,South Shore,82.23,1.14,650,341,749982,296716,,429205,62985,218141,745714,25363,78062,2606169,Aki Kurose,Option,Standard,Southeast,K-8,Yes,-122.272,47.524,98118,214,71,65,178,166,0,344,344,344.0,531,584,52.46153846153846,0.3821242887163618,31,1.2013247582467774,10,-1.399133578865425,10,3.8600000000000003,1.8920059557901405,7576.072674418605,4908.039548022599,4462.618150684932,Dunlap,0.1561049714380556
Stevens,Stevens,83.14,2.33,373,159,396751,170370,,361407,62985,91597,248571,25668,58447,1415797,Meany,Neighborhood,Standard,Central,K-5,No,-122.308,47.632,98112,111,16,38,82,77,0,159,159,157.29,159,159,42.62734584450402,0.43587657352192605,28,-0.8099343853621053,59,-0.18236779654447743,28,2.67,-0.8290725598132909,8904.383647798742,8904.383647798742,8904.383647798742,Montlake,0.64916726704325
Thornton Creek,Thornton Creek,90.0,1.15,650,419,657982,210704,,396105,62985,124198,828571,27203,54737,2362485,Eckstein,Option,Standard,Northeast,K-5,Yes,-122.284,47.686,98115,315,34,77,214,201,2,417,417,417.0,417,451,64.46153846153845,0.8410861051331044,17,1.2013247582467774,3,-1.3889086563249131,12,3.85,1.3349672342843368,5665.431654676259,5665.431654676259,5238.325942350332,Decatur,0.04651602575635681
Thurgood Marshall,Thurgood Marshall,63.06,2.63,558,297,657982,283935,,378255,62985,154736,1408570,25954,69043,3041459,Washington,Neighborhood,Highly Capable,Central,K-5,Yes,-122.3,47.591,98144,313,85,94,245,217,3,465,465,465.0,465,489,53.2258064516129,-0.7502177988909692,54,0.5333253314885926,21,0.12437987967088733,38,2.37,2.88703798532126,6540.772043010753,6540.772043010753,6219.752556237218,Beacon Hill Int'l,0.8127437744103058
View Ridge,View Ridge,49.52,4.13,480,348,396751,170370,,330546,62985,157842,331428,25732,75096,1550751,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.276,47.681,98115,238,11,44,153,136,1,290,290,288.5,366,366,72.5,-1.5500045420418955,69,-0.033022008588998904,41,1.658118260747712,72,0.8700000000000001,-0.5205803993838239,5347.41724137931,4237.024590163935,4237.024590163935,Decatur,0.47475821358358233
Viewlands,Viewlands,100.0,1.0,650,265,396751,170370,,518325,62985,12217,331428,26804,4308,1523188,Whitman,Neighborhood,Standard,Northwest,K-5,Yes,-122.361,47.706,98177,177,55,38,132,128,1,261,261,261.0,261,278,40.76923076923077,1.4317705535459009,4,1.2013247582467774,6,-1.5422824944325955,6,4.0,-0.5835868268918444,5835.969348659004,5835.969348659004,5479.093525179856,Cascadia,1.2745116131252794
Webster (Licton Springs),Licton Springs,100.0,1.0,292,59,362490,210704,303208,172325,62985,57021,414285,25732,25850,1634600,Whitman,Option,Standard,Northwest,K-8,Yes,-122.396,47.678,98117,42,6,18,37,26,1,64,64,64.0,109,143,20.205479452054796,1.4317705535459009,8,-1.398064315442681,66,-1.5422824944325955,3,4.0,-0.3289094658816648,25540.625,14996.330275229358,11430.76923076923,Adams,0.3924228525354881
Wedgwood,Wedgwood,40.02,3.71,346,381,435556,170370,,346801,62985,139719,248571,26146,83088,1513237,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.296,47.69,98115,289,34,36,169,183,2,354,354,354.0,354,354,110.11560693641617,-2.1111547680340523,72,-1.0059776953889639,62,1.2286715140462012,67,1.29,-0.6063338776530937,4274.680790960452,4274.680790960452,4274.680790960452,Thornton Creek,0.62285341717761
West Seattle ES,West Seattle,73.66,3.58,500,354,657982,283935,,382817,62985,108293,414285,24303,12263,1946863,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.374,47.542,98126,187,103,62,175,163,0,338,338,336.04,338,371,70.8,-0.12409228357340525,42,0.11219525809756303,35,1.095747521019543,65,1.42,0.38489440426806515,5759.949704142012,5759.949704142012,5247.609164420485,Roxhill,0.6236254013665411
West Woodland,West Woodland,67.33,2.0,650,407,435556,170370,,481362,62985,132972,165714,26447,48376,1523783,Hamilton,Neighborhood,Standard,Northwest,K-5,No,-122.362,47.67,98107,296,8,79,199,180,2,381,381,379.06,381,381,62.61538461538462,-0.49799553941870534,47,1.2013247582467774,1,-0.5197902403813789,24,3.0,-0.5822267128125616,3999.4304461942256,3999.4304461942256,3999.4304461942256,Salmon Bay,0.9764122457471042
Whittier,Whittier,79.49,2.04,480,358,435556,170370,,374412,62985,115222,248571,25732,39967,1472817,Whitman,Neighborhood,Standard,Northwest,K-5,No,-122.373,47.684,98117,260,12,73,167,175,0,342,342,342.0,342,342,74.58333333333333,0.220276749851255,34,-0.033022008588998904,40,-0.47889055021933025,25,2.96,-0.6987301988037009,4306.482456140351,4306.482456140351,4306.482456140351,Greenwood,0.6392569638610722
Wing Luke,Wing Luke,99.57,1.0,500,277,396751,243601,,568907,62985,111960,414285,24303,20533,1843325,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.285,47.531,98118,163,95,51,147,145,0,292,292,292.0,292,332,55.400000000000006,1.4063711222641502,10,0.11219525809756303,34,-1.5422824944325955,4,4.0,0.14821626722473072,6312.756849315068,6312.756849315068,5552.183734939759,Rising Star,0.2322173258670711
