building,school,building_condition,learning_environment,capacity,enrollment,wss_office_staff,wss_non-teaching,mitigation_funding,custodial,average_nutrition,utilities,transportation,grounds,maintenance,total_budget,middle_school_attendance_area,option_school,highly_capable_site,region,k_8,preschool,longitude,latitude,zip_code,regular_program,bilingual_served,special_ed._served,male,female,non-binary,total_student_count,p223_k5_count,p223_k5_fte,p223_k8_count,pk8_count,percent_utilization,normalized_building_condition,building_condition_rank,normalized_capacity,capacity_rank,normalized_learning_environment,learning_environment_rank,learning_environment_rev,normalized_total_budget,budget_per_k5_student,budget_per_k8_student,budget_per_pk8_student,nearest_school,distance_to_nearest_school
Frantz Coe,Frantz Coe,86.01,1.33,640,467,435556,170370,,399021,62985,130435,165714,25668,57687,1447437,McClure,Neighborhood,Standard,Central,K-5,No,-122.366,47.641,98119,362,29,75,211,246,0,457,457,456.02,457,457,72.96875,0.6054030102163989,22,1.1287161249034965,17,-1.204860050595694,15,3.67,-0.7567464934796636,3167.258205689278,3167.258205689278,3167.258205689278,Queen Anne,0.8181725566386205
Gatewood,Gatewood,73.0,3.02,389,385,435556,170370,,357700,62985,90692,165714,25782,74243,1383043,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.388,47.54,98136,307,14,50,191,178,1,370,370,370.0,370,370,98.97172236503856,-0.1630774571686496,43,-0.6937605720128557,58,0.5231518587508619,44,1.98,-0.9039451254482981,3737.9540540540543,3737.9540540540543,3737.9540540540543,West Seattle,0.6674949204609363
Genesee Hill,Genesee Hill,93.38,1.13,650,480,546769,170370,,535617,62985,135382,248571,25855,28991,1754541,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.397,47.566,98116,381,20,89,251,231,3,485,485,485.0,485,485,73.84615384615385,1.0407374486966294,15,1.2013247582467774,8,-1.4093585014059373,9,3.87,-0.05473561246442113,3617.6103092783505,3617.6103092783505,3617.6103092783505,Alki,0.9168826997245981
Graham Hill,Graham Hill,58.86,2.52,450,248,396751,170370,,379860,62985,93484,331428,24303,33293,1492474,Aki Kurose,Neighborhood,Standard,Southeast,K-5,No,-122.269,47.546,98118,131,95,47,138,110,1,249,249,249.0,249,249,55.111111111111114,-0.9983052672243439,62,-0.2508479086188418,54,0.011905731725253643,31,2.48,-0.6537961442550249,5993.871485943775,5993.871485943775,5993.871485943775,Martin Luther King,0.46435457794097573
Green Lake,Green Lake,48.1,3.13,346,339,435556,210704,,380209,62985,91053,579999,26807,37048,1824362,Eckstein,Neighborhood,Standard,Northwest,K-5,Yes,-122.329,47.676,98103,219,52,69,162,169,4,335,335,334.02,335,340,97.97687861271676,-1.6338817337165128,70,-1.0059776953889639,63,0.6356260066964956,47,1.87,0.10486863145088197,5445.85671641791,5445.85671641791,5365.770588235294,McDonald,0.5605587298387881
Greenwood,Greenwood,74.23,2.54,372,343,435556,210704,,376935,62985,96630,165714,25732,40398,1414654,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,Yes,-122.36,47.687,98117,252,16,50,155,159,3,317,317,314.85,317,339,92.20430107526882,-0.09042327001387541,40,-0.8171952486964333,60,0.03235557680627799,35,2.46,-0.8316853503891233,4462.630914826498,4462.630914826498,4173.020648967552,Whittier,0.6392569638610722
Hawthorne,Hawthorne,74.17,3.06,480,392,435556,170370,,393654,62985,85785,248571,25668,56978,1479568,Aki Kurose,Neighborhood,Standard,Southeast,K-5,No,-122.283,47.566,98118,276,55,54,194,176,8,378,378,377.5,378,378,81.66666666666667,-0.09396737670435232,41,-0.033022008588998904,49,0.5640515489129105,46,1.94,-0.6832980472923761,3914.201058201058,3914.201058201058,3914.201058201058,John Muir,0.6107760935162776
Hazel Wolf,Hazel Wolf,95.84,1.59,650,473,982252,256382,,292102,62985,120657,994285,26804,45431,2780898,Jane Addams,Option,Standard,Northeast,K-8,No,-122.315,47.713,98125,356,61,59,225,238,3,466,466,466.0,723,723,72.76923076923076,1.1860458230061777,13,1.2013247582467774,11,-0.9390120645423776,20,3.41,2.291420027990152,5967.592274678112,3846.3319502074687,3846.3319502074687,James Baldwin,0.6830812803809871
Highland Park,Highland Park,81.74,1.27,506,266,396751,170370,,401573,62985,136700,248571,26119,60976,1504044,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.348,47.525,98106,159,83,43,142,130,2,274,274,272.11,274,294,52.569169960474305,0.3531807507441342,32,0.1557604381035316,29,-1.266209585838767,13,3.73,-0.6273482116545169,5489.211678832116,5489.211678832116,5115.7959183673465,Concord,1.0753990175653534
James Baldwin,James Baldwin,100.0,1.0,650,219,396751,210704,,327261,62985,100000,331428,25732,50000,1504862,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,Yes,-122.329,47.716,98125,122,73,46,119,99,0,218,218,218.0,218,265,33.69230769230769,1.4317705535459009,7,1.2013247582467774,5,-1.5422824944325955,2,4.0,-0.6254783405337551,6903.036697247707,6903.036697247707,5678.7245283018865,Hazel Wolf,0.6830812803809871
John Hay,John Hay,82.67,2.63,480,300,396751,210704,,377026,62985,94449,662856,25668,38080,1868519,McClure,Neighborhood,Standard,Central,K-5,No,-122.352,47.633,98109,169,53,53,149,116,2,267,267,263.36,267,267,62.5,0.4081144044465247,30,-0.033022008588998904,52,0.12437987967088733,37,2.37,0.20580738338179158,6998.198501872659,6998.198501872659,6998.198501872659,Queen Anne,0.37265705792725523
John Muir,John Muir,70.32,2.53,480,326,435556,243601,,332754,62985,107526,82857,25668,62491,1353439,Washington,Neighborhood,Standard,Southeast,K-5,Yes,-122.291,47.573,98144,172,107,52,165,143,2,310,310,310.0,310,330,67.91666666666667,-0.32138088934327946,45,-0.033022008588998904,48,0.02213065426576559,34,2.47,-0.971617087134161,4365.932258064516,4365.932258064516,4101.330303030303,Kimball,0.5636465172145535
John Rogers,John Rogers,100.0,1.0,500,213,396751,170370,,328027,62985,112997,414285,26447,38962,1550824,Jane Addams,Neighborhood,Standard,Northeast,K-5,No,-122.285,47.707,98125,101,96,35,107,116,1,224,224,224.0,224,224,42.6,1.4317705535459009,1,0.11219525809756303,38,-1.5422824944325955,7,4.0,-0.520413528244685,6923.321428571428,6923.321428571428,6923.321428571428,Sacajawea,1.2371852038596338
John Stanford,John Stanford,70.1,3.44,398,418,435556,170370,150670,363641,62985,99282,165714,25668,92633,1566521,Hamilton,Option,Standard,Northwest,K-5,No,-122.324,47.657,98105,336,50,37,193,224,1,418,418,418.0,418,418,105.0251256281407,-0.33437594720836095,46,-0.6284128020039028,56,0.9525986054523727,60,1.56,-0.4845316615177903,3747.657894736842,3747.657894736842,3747.657894736842,McDonald,0.7727890017722514
Kimball,Kimball,100.0,1.0,650,395,657982,283935,,561540,62985,6514,579999,25668,658,2179281,Washington,Neighborhood,Standard,Southeast,K-5,Yes,-122.303,47.574,98144,215,107,80,182,191,5,378,378,378.0,378,419,60.76923076923077,1.4317705535459009,3,1.2013247582467774,13,-1.5422824944325955,1,4.0,0.9161801086021039,5765.293650793651,5765.293650793651,5201.147971360382,John Muir,0.5636465172145535
Lafayette,Lafayette,63.68,3.56,480,500,657982,210704,,399133,62985,117123,497142,24303,43271,2012643,Madison,Neighborhood,Standard,Southwest,K-5,Yes,-122.387,47.58,98116,401,33,72,239,254,6,499,499,499.0,499,523,104.16666666666667,-0.713595363089376,53,-0.033022008588998904,43,1.0752976759385189,64,1.44,0.5352613019743231,4033.3527054108217,4033.3527054108217,3848.265774378585,Alki,1.0005567066984244
Laurelhurst,Laurelhurst,64.33,3.75,320,297,396751,170370,,384991,62985,108306,331428,27149,41181,1523161,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.278,47.662,98105,183,42,53,142,124,3,269,269,268.04,269,269,92.8125,-0.6752008739425442,51,-1.1947601420814944,64,1.2695712042082499,68,1.25,-0.5836485463542657,5662.308550185873,5662.308550185873,5662.308550185873,Bryant Main,0.9496577051502975
Lawton,Lawton,62.19,2.79,480,343,435556,170370,,380612,62985,87236,248571,26102,26621,1438054,McClure,Neighborhood,Standard,Central,K-5,No,-122.39,47.657,98199,268,23,42,157,175,0,332,332,331.02,332,332,71.45833333333333,-0.8016073459028827,55,-0.033022008588998904,44,0.2879786403190821,41,2.21,-0.7781951496240512,4331.487951807229,4331.487951807229,4331.487951807229,Catharine Blaine,1.073531600372857
Leschi,Leschi,71.27,3.04,532,283,396751,210704,,390702,62985,86773,331428,26082,46710,1552136,Meany,Neighborhood,Standard,Central,K-5,Yes,-122.292,47.602,98122,181,36,56,130,131,3,264,264,264.0,264,302,53.19548872180451,-0.26526586674406366,44,0.3445428847960621,27,0.5436017038318862,45,1.96,-0.517414419552216,5879.30303030303,5879.30303030303,5139.523178807947,Madrona,0.6925445271813505
Louisa Boren,Louisa Boren,64.43,3.47,650,303,672371,296716,75802,304437,62985,222979,911428,25786,93307,2665810,Denny,Option,Standard,Southwest,K-8,Yes,-122.362,47.549,98106,228,29,56,164,142,1,307,307,307.0,444,462,46.61538461538461,-0.6692940294584158,50,1.2013247582467774,9,0.9832733730739095,62,1.5299999999999998,2.0283396764666217,8683.42019543974,6004.076576576576,5770.151515151515,Sanislo,0.6374260132057612
Lowell,Lowell,54.1,3.44,610,370,657982,283935,,578627,62985,82218,994285,26082,29867,2715981,Meany,Neighborhood,Standard,Central,K-5,Yes,-122.318,47.624,98102,172,152,64,180,185,3,368,368,368.0,368,405,60.65573770491803,-1.279471064668835,66,0.9108902248736537,18,0.9525986054523727,59,1.56,2.143025867175358,7380.383152173913,7380.383152173913,6706.125925925926,Stevens,0.7227875087673588
Loyal Heights,Loyal Heights,99.78,1.46,650,565,657982,243601,,566937,62985,100704,248571,26560,48678,1956018,Whitman,Neighborhood,Standard,Northwest,K-5,No,-122.389,47.686,98117,441,14,77,268,255,5,528,528,528.0,528,528,86.92307692307692,1.4187754956808194,9,1.2013247582467774,7,-1.0719360575690358,16,3.54,0.4058218738408957,3704.5795454545455,3704.5795454545455,3704.5795454545455,North Beach,0.628797301701049
Madrona,Madrona,83.47,2.38,532,215,396751,210704,,397479,62985,107173,165714,25668,51359,1417834,Meany,Neighborhood,Standard,Central,K-5,Yes,-122.291,47.612,98122,165,23,23,114,94,1,209,209,208.02,209,231,40.41353383458647,0.4553691603195482,27,0.3445428847960621,22,-0.1312431838419168,29,2.62,-0.8244161692595109,6783.894736842105,6783.894736842105,6137.809523809524,Leschi,0.6925445271813505
Magnolia,Magnolia,90.05,1.54,500,326,435556,210704,,376764,62985,92557,165714,27798,36030,1408109,McClure,Neighborhood,Standard,Central,K-5,Yes,-122.392,47.641,98199,228,23,67,147,165,1,313,313,313.0,313,346,65.2,0.8440395273751682,16,0.11219525809756303,37,-0.9901366772449385,19,3.46,-0.8466466052612343,4498.750798722045,4498.750798722045,4069.6791907514453,Catharine Blaine,0.39725426485252413
