Building,School,Building Condition,Learning Environment,Capacity,Enrollment,WSS Office staff,WSS non-teaching,Mitigation funding,Custodial,Average Nutrition,Utilities,Transportation,Grounds,Maintenance,Total Budget,Middle School Attendance Area,Option School,Highly Capable Site,Region,K_8,Preschool,Longitude,Latitude,Zip Code,Regular Program,Bilingual Served,Special Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 K5 Count,P223 K5 FTE,P223 K8 Count,PK8 Count
Stevens,Stevens,83.14,2.33,373,159,396751,170370,,361407,62985,91597,248571,25668,58447,1415797,Meany,Neighborhood,Standard,Central,K-5,No,-122.308,47.632,98112,111,16,38,82,77,0,159,159,157.29,159,159
Thornton Creek,Thornton Creek,90,1.15,650,419,657982,210704,,396105,62985,124198,828571,27203,54737,2362485,Eckstein,Option,Standard,Northeast,K-5,Yes,-122.284,47.686,98115,315,34,77,214,201,2,417,417,417,417,451
Thurgood Marshall,Thurgood Marshall,63.06,2.63,558,297,657982,283935,,378255,62985,154736,1408570,25954,69043,3041459,Washington,Neighborhood,Highly Capable,Central,K-5,Yes,-122.3,47.591,98144,313,85,94,245,217,3,465,465,465,465,489
View Ridge,View Ridge,49.52,4.13,480,348,396751,170370,,330546,62985,157842,331428,25732,75096,1550751,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.276,47.681,98115,238,11,44,153,136,1,290,290,288.5,366,366
Viewlands,Viewlands,100,1,650,265,396751,170370,,518325,62985,12217,331428,26804,4308,1523188,Whitman,Neighborhood,Standard,Northwest,K-5,Yes,-122.361,47.706,98177,177,55,38,132,128,1,261,261,261,261,278
Webster (Licton Springs),Licton Springs,100,1,292,59,362490,210704,303208,172325,62985,57021,414285,25732,25850,1634600,Whitman,Option,Standard,Northwest,K-8,Yes,-122.396,47.678,98117,42,6,18,37,26,1,64,64,64,109,143
Wedgwood,Wedgwood,40.02,3.71,346,381,435556,170370,,346801,62985,139719,248571,26146,83088,1513237,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.296,47.69,98115,289,34,36,169,183,2,354,354,354,354,354
West Seattle ES,West Seattle,73.66,3.58,500,354,657982,283935,,382817,62985,108293,414285,24303,12263,1946863,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.374,47.542,98126,187,103,62,175,163,0,338,338,336.04,338,371
West Woodland,West Woodland,67.33,2,650,407,435556,170370,,481362,62985,132972,165714,26447,48376,1523783,Hamilton,Neighborhood,Standard,Northwest,K-5,No,-122.362,47.67,98107,296,8,79,199,180,2,381,381,379.06,381,381
Whittier,Whittier,79.49,2.04,480,358,435556,170370,,374412,62985,115222,248571,25732,39967,1472817,Whitman,Neighborhood,Standard,Northwest,K-5,No,-122.373,47.684,98117,260,12,73,167,175,0,342,342,342,342,342
Wing Luke,Wing Luke,99.57,1,500,277,396751,243601,,568907,62985,111960,414285,24303,20533,1843325,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.285,47.531,98118,163,95,51,147,145,0,292,292,292,292,332
